timestep,reward
79080366,5.1031
79298147,5.2918
79514666,5.1754
79731062,4.6694
79946995,5.1719
80166171,5.0841
80385412,5.3047
80601528,5.6167
80820238,5.0885
81036987,4.707
81254051,5.2914
81470422,5.5747
81688400,4.8444
81906125,5.1627
82122265,5.2272
82337395,5.1819
82553981,4.3663
82772433,5.0243
82990256,4.9946
83209849,4.8904
83428168,5.1946
83648994,5.2062
83867377,5.3791
84088245,4.9907
84307037,5.4251
84522674,4.6666
84741855,5.0126
84961029,5.5012
85180168,5.3
85398432,4.9338
85618029,5.2042
85837985,5.3951
86052570,5.28
86270648,5.2794
86488026,5.3495
86704944,5.3638
86922624,4.9889
87141881,5.1777
87357983,5.0477
87573870,4.9235
87791619,4.7392
88008665,5.7162
88225633,5.1251
88442720,4.8231
88658092,5.0323
88876792,5.7581
89096720,5.5862
89313891,5.4046
89531666,5.003
89748417,4.8626
89964546,4.4382
90180609,5.0956
90398155,5.1985
90617658,4.9956
90836573,5.0523
91053601,5.4667
91269953,5.3453
91488044,5.1072
91707577,5.1426
91923126,5.18
92142933,5.4329
92358643,5.349
92575931,5.459
92794290,5.8048
93013950,5.4204
93231965,5.1275
93449508,5.2033
93666615,5.3464
93882694,5.376
94098051,5.0723
94316874,5.0894
94533098,5.6202
94751368,4.8705
94967849,5.5835
95185074,5.1304
95401295,5.467
95619348,5.1479
95836309,5.4675
96053992,5.0161
96272927,5.3399
96490133,5.6399
96708574,4.7487
96926069,5.0976
97143800,6.5381
97362651,5.3909
97579619,5.507
97797073,6.0796
98013764,5.0989
98234125,5.4
98450068,5.4887
98669232,5.5078
98887507,5.5743
99108436,5.0727
99326916,5.5935
99544721,5.3679
99764152,5.4931
99982956,5.2458
100201735,5.4256
100421553,5.1771
100638609,5.1769
100853980,6.1386
101071143,6.0526
101289247,5.603
101507695,5.189
101725428,5.298
101940578,5.1669
102157576,4.7828
102375287,5.1672
102592428,5.4761
102808765,5.1796
103027178,5.981
103242381,4.9345
103459163,5.6175
103675790,5.5426
103893699,5.4103
104111064,5.5633
104328132,5.1205
104544928,5.4176
